Campaign Date,Channel,Campaign,Impressions,Clicks,Spend,Conversion Rate,Region
2026-04-01,Search,Spring Launch,"12,500",320,"$1,250.00",2.6%,North
2026-04-03,Social,Spring Launch,"18,200",410,"$980.00",2.3%,West
2026-04-07,Email,Member Offer,"9,800",275,"$320.00",2.8%,East
2026-04-10,Search,Member Offer,"15,400",390,"$1,180.00",,North
2026-04-13,Social,Product Teaser,"22,100",520,"$1,450.00",2.4%,South
2026-04-16,Email,Product Teaser,"11,700",305,"$410.00",2.6%,West
2026-04-20,Search,Spring Launch,"27,500",680,"$1,950.00",2.5%,North
2026-04-23,Social,Member Offer,"19,300",455,"$1,020.00",2.4%,East
2026-04-26,Email,Spring Launch,"8,600",240,"$285.00",2.8%,South
2026-04-29,Search,Product Teaser,"31,200",790,"$2,250.00",2.5%,West
2026-05-02,Social,Spring Launch,"24,800",610,"$1,680.00",2.5%,North
2026-05-05,Email,Member Offer,"10,400",280,"$350.00",2.7%,East
2026-05-08,Search,Product Teaser,"35,600",905,"$2,480.00",2.5%,West
2026-05-11,Social,Member Offer,"21,700",498,"$1,140.00",2.3%,South
2026-05-14,Email,Spring Launch,"12,900",330,"$390.00",2.6%,North
2026-05-17,Search,Member Offer,"16,100",402,"$1,210.00",2.5%,East
2026-05-20,Social,Product Teaser,"26,400",650,"$1,720.00",2.5%,West
2026-05-23,Email,Product Teaser,"9,300",248,"$305.00",2.7%,South
2026-05-26,Search,Spring Launch,"42,000",1100,"$3,100.00",2.6%,North
2026-05-29,Social,Member Offer,"23,600",575,"$1,320.00",2.4%,East
2026-05-29,Social,Member Offer,"23,600",575,"$1,320.00",2.4%,East
